"TF","Activity_Score","P_Value","p_adj"
"EGR1",-6.35941398252846,2.06716781878626e-10,6.11881674360734e-08
"ATF4",5.58037081265912,2.42980993724993e-08,3.5961187071299e-06
"NR2C2",5.42820271118036,5.75577774553166e-08,5.67903404225791e-06
"PRDM14",-4.75422854732293,2.00531799249436e-06,0.000148393531444583
"SOX2",-4.38387936355808,1.17152844976914e-05,0.000693544842263331
"TFAP2C",-3.54625992292132,0.000391594793716841,0.0193186764900308
"MYCN",3.44506335261175,0.000572045861692252,0.0241893678658438
"MITF",3.29942732481571,0.000970442418357439,0.0359063694792253
